start_time,encryp_client,encryp_supplier,environment,hub_machine,hub_status_id,error_code,Hits
2019-11-26 16:00:00 UTC,fDKD1IuiC1AMlirUyjoPCg==,fgpo2BZnsrDs+Or5nW1SxQ==,GCloud_Hotel,HOTEL-815,1,0,192
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,+aoIvdU8fSZdTyLtyS7CbQ==,TGMADXTGPHUB11V,TGMADXTGPHUB11V,1,0,3441
2019-11-26 16:00:00 UTC,0tiKXCVSRuVYrgrxR+Sxnw==,+aoIvdU8fSZdTyLtyS7CbQ==,GCloud_Hotel,HOTEL-815,1,204,1
2019-11-26 16:00:00 UTC,F1WsXkbBIuK/trXzp+694w==,kkBTeJzm79M7qJsqtEDJBA==,GCloud_Hotel,HOTEL-087,1,102,1
2019-11-26 16:00:00 UTC,F1WsXkbBIuK/trXzp+694w==,X0W89Lr1WDyp26yH4Pi9kg==,GCloud_Hotel,HOTEL-312,1,204,1
2019-11-26 16:00:00 UTC,F1WsXkbBIuK/trXzp+694w==,H6q5AIjchJU+sKWnyl7TeQ==,GCloud_Hotel,HOTEL-312,1,204,1
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,/8vS34kth1xjeg2469PBWg==,TGMADXTGPHUB36V,TGMADXTGPHUB36V,1,204,4761
2019-11-26 16:00:00 UTC,OkgUssz0X9xJ1rNL+lh6xg==,iNzox7+VFon0OXxq3vbbtQ==,az_Hotel_we0,vmhotwe000013Y,1,204,14
2019-11-26 16:00:00 UTC,NxcukFln61KDCTWt2V5pmA==,iNzox7+VFon0OXxq3vbbtQ==,az_Hotel_we6,vmhotwe600001L,1,0,2360
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,rfVxEzdSqT5zyt2ThLt+KA==,TGMADXTGPHUB12V,TGMADXTGPHUB12V,1,204,1245
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,7z56JIOVpc1L1wCvVpIPIg==,TGMADXTGPHUB46V,TGMADXTGPHUB46V,1,0,61
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,0miAdp/04rI6PZPec1hRzQ==,TGMADXTGPHUB57V,TGMADXTGPHUB57V,1,0,4736
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,oFVWK9tZrYupzGgDZzCBGA==,TGMADXTGPHUB26V,TGMADXTGPHUB26V,1,105,472
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,NaTon+0D5apURgIdPhXQZA==,TGMADXTGPHUB52V,TGMADXTGPHUB52V,1,204,44
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,EOBUoMnM/IUyNJTyjUUugA==,TGMADXTGPHUB24V,TGMADXTGPHUB24V,1,105,3
2019-11-26 16:00:00 UTC,g7Y3WemIzpT7nghOQm/Ulw==,afNCEvo5npzKCBDcEG+z1g==,az_Hotel_we0,vmhotwe000013J,1,104,18
2019-11-26 16:00:00 UTC,aVcmQ/ubeVvTTPjyoz/NGg==,sYB+8EI/NC8O+taVdaz6jQ==,TotalUptime_Hotel_22,XML22,1,0,1496
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,wS0ReNCqZ57CKoTOZHjWzA==,TGMADXTGPHUB22V,TGMADXTGPHUB22V,1,105,1
2019-11-26 16:00:00 UTC,NxcukFln61KDCTWt2V5pmA==,CTHDRWq4l+7XxgBWSJGY7g==,az_Hotel_we6,vmhotwe600001F,1,0,5582
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,U/k7qjBXghEHx1AyOJL6kg==,TGMADXTGPHUB21V,TGMADXTGPHUB21V,1,0,1831
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,U/k7qjBXghEHx1AyOJL6kg==,TGMADXTGPHUB29V,TGMADXTGPHUB29V,1,0,1758
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,ogiedpe7RrBCunvT4utQ8Q==,TGMADXTGPHUB23V,TGMADXTGPHUB23V,1,101,6
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,C/zUzqnj3FnAx6ZCjm1jWA==,TGMADXTGPHUB38V,TGMADXTGPHUB38V,1,0,12
2019-11-26 16:00:00 UTC,NdKnVLm0j+zEGGqvRZ+XCg==,/ic18xMaysaxrN7pjSiP0w==,TGMADXTGPHUB07V,TGMADXTGPHUB07V,1,204,523
